class_name,precision,recall,f1-score,support
acacia_log,1.0,0.9888888888888889,0.994413407821229,90.0
acacia_planks,0.9782608695652174,1.0,0.989010989010989,90.0
bed,0.967032967032967,0.967032967032967,0.967032967032967,91.0
birch_log,1.0,0.9888888888888889,0.994413407821229,90.0
birch_planks,0.9375,1.0,0.967741935483871,90.0
bookshelf,1.0,1.0,1.0,90.0
bricks,0.989010989010989,1.0,0.994475138121547,90.0
chest,1.0,1.0,1.0,90.0
clay,1.0,1.0,1.0,90.0
coal_ore,1.0,1.0,1.0,91.0
cobblestone,0.9888888888888889,0.9888888888888889,0.9888888888888889,90.0
crafting_table,1.0,1.0,1.0,90.0
crimson_planks,1.0,1.0,1.0,90.0
dark_oak_log,0.9761904761904762,0.9111111111111111,0.9425287356321839,90.0
dark_oak_planks,1.0,0.9888888888888889,0.994413407821229,90.0
diamond_ore,1.0,1.0,1.0,90.0
diorite,1.0,1.0,1.0,90.0
dirt,1.0,0.9666666666666667,0.9830508474576272,90.0
dirt_path,1.0,1.0,1.0,90.0
emerald_ore,1.0,1.0,1.0,90.0
furnace,0.989010989010989,1.0,0.994475138121547,90.0
glass,1.0,1.0,1.0,90.0
glowstone,1.0,1.0,1.0,90.0
gold_ore,1.0,1.0,1.0,90.0
granite,1.0,0.9777777777777777,0.9887640449438202,90.0
grass_block,0.9782608695652174,1.0,0.989010989010989,90.0
gravel,1.0,0.9888888888888889,0.994413407821229,90.0
hay_block,1.0,1.0,1.0,90.0
honey_block,0.989010989010989,1.0,0.994475138121547,90.0
ice,1.0,0.9777777777777777,0.9887640449438202,90.0
iron_ore,1.0,0.9888888888888889,0.994413407821229,90.0
jungle_log,0.978021978021978,0.9888888888888889,0.9834254143646409,90.0
jungle_planks,1.0,0.7777777777777778,0.875,90.0
lapis_ore,1.0,1.0,1.0,90.0
lava,1.0,1.0,1.0,90.0
magma_block,1.0,1.0,1.0,90.0
melon,1.0,1.0,1.0,90.0
mossy_cobblestone,1.0,1.0,1.0,90.0
nether_bricks,1.0,0.9888888888888889,0.994413407821229,90.0
nether_gold_ore,1.0,1.0,1.0,90.0
netherrack,0.989010989010989,1.0,0.994475138121547,90.0
oak_fence,1.0,0.9777777777777777,0.9887640449438202,90.0
oak_log,0.9361702127659575,0.9777777777777777,0.9565217391304348,90.0
oak_planks,0.8090909090909091,0.9888888888888889,0.89,90.0
obsidian,1.0,1.0,1.0,90.0
pumpkin,1.0,1.0,1.0,90.0
red_mushroom_block,0.989010989010989,1.0,0.994475138121547,90.0
redstone_ore,1.0,1.0,1.0,90.0
sand,1.0,1.0,1.0,90.0
sandstone,1.0,1.0,1.0,90.0
slime_block,1.0,1.0,1.0,90.0
snow_block,0.9782608695652174,1.0,0.989010989010989,90.0
spruce_log,0.978021978021978,0.9888888888888889,0.9834254143646409,90.0
spruce_planks,0.9425287356321839,0.9111111111111111,0.9265536723163842,90.0
stone,0.967741935483871,1.0,0.9836065573770492,90.0
terracotta,0.9888888888888889,0.978021978021978,0.9834254143646409,91.0
tnt,1.0,0.9888888888888889,0.994413407821229,90.0
torch,1.0,0.9777777777777777,0.9887640449438202,90.0
warped_stem,1.0,1.0,1.0,90.0
water,0.9782608695652174,1.0,0.989010989010989,90.0
accuracy,0.9879696464926893,0.9879696464926893,0.9879696464926893,0.9879696464926893
macro avg,0.988802923222232,0.9879731379731379,0.9879261877931483,5403.0
weighted avg,0.9888009822794697,0.9879696464926893,0.9879237224624097,5403.0
