class_name,precision,recall,f1-score,support
acacia_log,0.0,0.0,0.0,1.0
acacia_planks,0.0,0.0,0.0,1.0
bed,0.0,0.0,0.0,1.0
birch_log,0.0,0.0,0.0,1.0
birch_planks,0.0,0.0,0.0,1.0
bookshelf,0.0,0.0,0.0,1.0
bricks,0.0,0.0,0.0,1.0
chest,0.0,0.0,0.0,1.0
clay,0.0,0.0,0.0,1.0
coal_ore,0.0,0.0,0.0,1.0
cobblestone,0.0,0.0,0.0,1.0
crafting_table,0.0,0.0,0.0,1.0
crimson_planks,0.0,0.0,0.0,1.0
dark_oak_log,0.0,0.0,0.0,1.0
dark_oak_planks,0.0,0.0,0.0,1.0
diamond_ore,0.0,0.0,0.0,1.0
diorite,0.0,0.0,0.0,1.0
dirt,0.0,0.0,0.0,1.0
dirt_path,0.0,0.0,0.0,1.0
emerald_ore,0.0,0.0,0.0,1.0
furnace,0.0,0.0,0.0,1.0
glass,0.0,0.0,0.0,1.0
glowstone,0.0,0.0,0.0,1.0
gold_ore,0.0,0.0,0.0,1.0
granite,0.0,0.0,0.0,1.0
grass_block,0.0,0.0,0.0,1.0
gravel,0.07692307692307693,1.0,0.14285714285714285,1.0
hay_block,0.0,0.0,0.0,1.0
honey_block,0.0,0.0,0.0,1.0
ice,0.0,0.0,0.0,1.0
iron_ore,0.0,0.0,0.0,1.0
jungle_log,0.043478260869565216,1.0,0.08333333333333333,1.0
jungle_planks,0.0,0.0,0.0,1.0
lapis_ore,0.0,0.0,0.0,1.0
lava,0.0,0.0,0.0,1.0
magma_block,0.0,0.0,0.0,1.0
melon,0.0,0.0,0.0,1.0
mossy_cobblestone,0.0,0.0,0.0,1.0
nether_bricks,0.0,0.0,0.0,1.0
nether_gold_ore,0.0,0.0,0.0,1.0
netherrack,0.0,0.0,0.0,1.0
oak_fence,0.0,0.0,0.0,1.0
oak_log,0.0,0.0,0.0,1.0
oak_planks,0.0,0.0,0.0,1.0
obsidian,0.0,0.0,0.0,1.0
pumpkin,0.0,0.0,0.0,1.0
red_mushroom_block,0.0,0.0,0.0,1.0
redstone_ore,0.0,0.0,0.0,1.0
sand,0.0,0.0,0.0,1.0
sandstone,0.0,0.0,0.0,1.0
slime_block,0.0,0.0,0.0,1.0
snow_block,0.0,0.0,0.0,1.0
spruce_log,0.0,0.0,0.0,1.0
spruce_planks,0.0,0.0,0.0,1.0
stone,0.0,0.0,0.0,1.0
terracotta,0.0,0.0,0.0,1.0
tnt,0.0,0.0,0.0,1.0
torch,0.0,0.0,0.0,1.0
warped_stem,0.0,0.0,0.0,1.0
water,0.0,0.0,0.0,1.0
accuracy,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
macro avg,0.0020066889632107026,0.03333333333333333,0.0037698412698412695,60.0
weighted avg,0.0020066889632107026,0.03333333333333333,0.0037698412698412695,60.0
